table,group_tbl,code,raw,norm
0052M4AWB06.px,LeafyVeg,6,Pechay native,pechay native
0052M4AWB07.px,Fruits,0,"Banana Bungulan, ripe*",banana bungulan ripe
0052M4AWB07.px,Fruits,1,"Banana Lakatan, ripe*",banana lakatan ripe
0052M4AWB07.px,Fruits,2,"Banana Latundan, ripe*",banana latundan ripe
0052M4AWB07.px,Fruits,3,"Banana Saba, ripe*",banana saba ripe
0052M4AWB07.px,Fruits,4,"Banana Saba, Green",banana saba green
0052M4AWB07.px,Fruits,5,Calamansi,calamansi
0052M4AWB07.px,Fruits,6,Mandarin Szinkom,mandarin szinkom
0052M4AWB07.px,Fruits,7,"Mango Carabao, green",mango carabao green
0052M4AWB07.px,Fruits,8,"Mango Carabao, ripe",mango carabao ripe
0052M4AWB07.px,Fruits,9,Muskmelon*,muskmelon
0052M4AWB07.px,Fruits,10,Papaya Hawaiian*,papaya hawaiian
0052M4AWB07.px,Fruits,11,Pineapple Hawaiian*,pineapple hawaiian
0052M4AWB07.px,Fruits,12,Watermelon*,watermelon
0052M4AWB08.px,CommercialCrops,0,Abaca Handstripped,abaca handstripped
0052M4AWB08.px,CommercialCrops,1,Coconut matured*,coconut matured
0052M4AWB08.px,CommercialCrops,2,Coffee Arabica (roasted),coffee arabica
0052M4AWB08.px,CommercialCrops,3,Coffee Robusta (roasted),coffee robusta
0052M4AWB08.px,CommercialCrops,4,Copra Corriente,copra corriente
0052M4AWB08.px,CommercialCrops,5,Copra Resecada,copra resecada
0052M4AWB08.px,CommercialCrops,6,Tobacco Virginia,tobacco virginia
0052M4AWB09.px,PoultryEggs,0,Chicken egg*,chicken egg
0052M4AWB09.px,PoultryEggs,1,"Duck Eggs, Fresh",duck eggs fresh
0052M4AWB10.px,Fish,0,Alumahan [Indian mackerel],alumahan
0052M4AWB10.px,Fish,1,Bangus [Milkfish],bangus
0052M4AWB10.px,Fish,2,Bisugo [Threadfin bream],bisugo
0052M4AWB10.px,Fish,3,"Crab, Alimasag [Blue crab]",crab alimasag
0052M4AWB10.px,Fish,4,"Dalagang-Bukid, bilog [Caesio]",dalagang bukid bilog
0052M4AWB10.px,Fish,5,"Dalagang-Bukid, lapad [Caesio]",dalagang bukid lapad
0052M4AWB10.px,Fish,6,Dilis [Anchovies],dilis
0052M4AWB10.px,Fish,7,Espada [Hairtail],espada
0052M4AWB10.px,Fish,8,Galunggong [Roundscad],galunggong
0052M4AWB10.px,Fish,9,Hasa-hasa [Indo-Pacific mackerel],hasa hasa
0052M4AWB10.px,Fish,10,Kalaso [Lizard fish],kalaso
0052M4AWB10.px,Fish,11,Lapu-lapu [Grouper],lapu lapu
0052M4AWB10.px,Fish,12,"Lapu-lapu [Grouper], other than red species",lapu lapu other than red species
0052M4AWB10.px,Fish,13,Matang-baka [Big-eyed scad],matang baka
0052M4AWB10.px,Fish,14,Pusit [Squid],pusit
0052M4AWB10.px,Fish,15,Salay-salay [Crevalle],salay salay
0052M4AWB10.px,Fish,16,Sapsap [Slipmouth],sapsap
0052M4AWB10.px,Fish,17,"Shrimp, Suaje [Endeavor prawn]",shrimp suaje
0052M4AWB10.px,Fish,18,"Shrimp, Sugpo [Tiger prawn]",shrimp sugpo
0052M4AWB10.px,Fish,19,Talakitok [Cavalla],talakitok
0052M4AWB10.px,Fish,20,Tambakol [Yellowfin tuna],tambakol
0052M4AWB10.px,Fish,21,Tamban [Indian sardines],tamban
0052M4AWB10.px,Fish,22,Tanigue [Spanish mackerel],tanigue
0052M4AWB10.px,Fish,23,Tilapia,tilapia
0052M4AWB10.px,Fish,24,Tulingan [Frigate tuna],tulingan
0052M4AWB10.px,Fish,25,White Shrimp,white shrimp
